URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/title-type,4.3.0,draft,"2.16.840.1.113883.4.642.3.1492",TitleType,TitleType,"Used to express the reason and specific aspect for the variant title, such as language and specific language.","StructureDefinition/label-extension","THO"
http://terminology.hl7.org/ValueSet/v3-FamilyMember,3.0.0,active,"2.16.840.1.113883.1.11.19579",FamilyMember,FamilyMember,"A relationship between two people characterizing their ""familial"" relationship","StructureDefinition/ncpi-family-relationship,StructureDefinition/family-role","THO (V3)"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/collection-type-vs,0.1.0,draft,,CollectionTypeVS,Collection Type,"Enumerated list of Collection types","StructureDefinition/SharedDataModelResearchCollection,StructureDefinition/ncpi-research-collection","Internal"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/condition-assertion-vs,0.1.0,draft,,ConditionAssertionVS,Assertion of Condition Codes,"","StructureDefinition/ncpi-condition","Internal"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/condition-code-vs,0.1.0,draft,,ConditionCodeVS,Conditon Codes,"Includes all codes from **HPO** and **MONDO**",,"hl7.terminology.r4"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/condition-laterality-vs,0.1.0,draft,,LateralityQualifierVS,Laterality Information,"Laterality Information","StructureDefinition/condition-laterality","FHIR"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/condition-location-vs,0.1.0,draft,,BodyLocationQualifierVS,Location Information,"Location Information","StructureDefinition/condition-location","FHIR"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/condition-type-vs,0.1.0,draft,,ConditionTypeVS,Type of Condition,"",,"Internal"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/consanguinity-assertion-vs,0.1.0,draft,,ConsanguinityAssertionVS,Consanguinity Value Codes,"List of codes indicates the level of known consanguinity (blood relation) within a study family.","StructureDefinition/consanguinity","SCT"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/edam-ontology-terms,0.1.0,draft,,EDAMOntologyTerms,Enumerations for the EDAM ontology,"Enumerations for the EDAM ontology","StructureDefinition/ncpi-file","Other"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/mesh-terms,0.1.0,draft,,MeshTerms,MeSH Terms,"Example terms from Medical Subject Headings (MeSH) Ontology","StructureDefinition/research-disease-use-limitation","Other"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/ncpi-family-types-vs,0.1.0,active,,NcpiFamilyTypesVS,Family Types Codes,"A value set with all codes used for the expected family types.","StructureDefinition/family-type","Internal"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/research-data-access-code-vs,0.1.0,draft,,ResearchDataAccessCodeVS,Research Data Access Codes,"Enumerated list of access codes such as dbGaP consent codes among others.","StructureDefinition/ncpi-research-access-policy,StructureDefinition/SharedDataModelResearchDataAccessPolicy","Internal"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/research-data-access-type-vs,0.1.0,draft,,ResearchDataAccessTypeVS,Research Data Access Type Codes,"Enumerated list of access type codes such as 'Open Access', 'Registered Access' and 'Controlled Access'","StructureDefinition/access-type","Internal"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/research-data-date-of-birth-method-vs,0.1.0,draft,,ResearchDataDateOfBirthMethodVS,Enumerations for how DOB was constructed,"Enumerations for how DOB was constructed","StructureDefinition/research-date-of-birth-method","THO"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/study-name-type-vs,0.1.0,draft,,StudyNameTypeVS,Study Name Type,"Some common types of study 'names'.","StructureDefinition/SharedDataModelResearchStudy","Internal"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/study-personnel-role-vs,0.1.0,draft,,StudyPersonnelRoleVS,Study Personnel Role,"Roles associated with study personnel.","StructureDefinition/SharedDataModelResearchStudy","Internal"
