URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/collection-type-vs,0.2.0,draft,,CollectionTypeVS,Collection Type,"Enumerated list of Collection types",,"Internal"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/condition-code-vs,0.2.0,draft,,ConditionCodeVS,Condition Codes,"Includes all codes from **HPO** and **MONDO**",,"hl7.terminology.r4"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/condition-type-vs,0.2.0,draft,,ConditionTypeVS,Type of Condition,"Type of Condition",,"Internal"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/consanguinity-assertion-vs,0.2.0,draft,,ConsanguinityAssertionVS,Consanguinity Value Codes,"List of codes indicates the level of known consanguinity (blood relation) within a study family.",,"SCT"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/edam-ontology-terms-vs,0.2.0,draft,,EDAMOntologyTerms,Enumerations for the EDAM ontology,"Enumerations for the EDAM ontology",,"Other"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/mesh-terms,0.2.0,draft,,MeshTerms,MeSH Terms,"Example terms from Medical Subject Headings (MeSH) Ontology",,"THO"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/ncpi-family-types-vs,0.2.0,active,,NcpiFamilyTypesVS,Family Types Codes,"A value set with all codes used for the expected family types.",,"Internal"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/phenotypic-feature-assertion-vs,0.2.0,draft,,PhenotypicFeatureAssertionVS,Assertion of Phenotypic Feature Codes,"Assertion of Phenotypic Feature Codes",,"Internal"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/phenotypic-feature-code-vs,0.2.0,draft,,PhenotypicFeatureCodeVS,Phenotypic Feature Codes,"Includes all codes from **HPO** ",,"hl7.terminology.r4"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/research-data-access-code-vs,0.2.0,draft,,ResearchDataAccessCodeVS,Research Data Access Codes,"Enumerated list of access codes such as dbGaP consent codes among others.",,"Internal"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/research-data-access-type-vs,0.2.0,draft,,ResearchDataAccessTypeVS,Research Data Access Type Codes,"Enumerated list of access type codes such as 'Open Access', 'Registered Access' and 'Controlled Access'",,"Internal"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/research-data-date-of-birth-method-vs,0.2.0,draft,,ResearchDataDateOfBirthMethodVS,Enumerations for how DOB was constructed,"Enumerations for how DOB was constructed",,"Internal"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/research-study-party-role-vs,0.2.0,active,,ResearchStudyPartyRoleVS,Family Types Codes,"A value set with all codes used for the expected family types.",,"Internal"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/study-name-type-vs,0.2.0,draft,,StudyNameTypeVS,Study Name Type,"Some common types of study 'names'.",,"Internal"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/study-personnel-role-vs,0.2.0,draft,,StudyPersonnelRoleVS,Study Personnel Role,"Roles associated with study personnel.",,"Internal"
https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/title-type,0.2.0,draft,"2.16.840.1.113883.4.642.3.2974",TitleTypeVS,Title Type,"Used to express the reason and specific aspect for the variant title, such as language and specific language.",,"Internal"
